Product,Sub-product,Issue,Cluster,Response Type,Suggested Response,Suggested Action,Policy Reference
"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Other transaction problem,20,Escalation,Transaction-related issues on digital wallets or transfers should be reported through the official dispute mechanism in the app or portal.,Collect relevant documentation and submit a formal complaint through the institution's escalation channel.,
"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,21,Alert,Transaction-related issues on digital wallets or transfers should be reported through the official dispute mechanism in the app or portal.,Report the transaction to your issuer and request a chargeback or fraud investigation. Follow up with documentation.,
"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,22,Advice,"For your issue 'Incorrect information on your report' under Credit reporting, credit repair services, or other personal consumer reports, we recommend contacting your provider and keeping detailed records.",Collect relevant documentation and submit a formal complaint through the institution's escalation channel.,
Prepaid card,General-purpose prepaid card,Trouble using the card,23,Escalation,"For your issue 'Trouble using the card' under Prepaid card, we recommend contacting your provider and keeping detailed records.",Collect relevant documentation and submit a formal complaint through the institution's escalation channel.,
"Payday loan, title loan, or personal loan",Installment loan,Charged fees or interest you didn't expect,24,Alert,"Loan-related issues should be documented and addressed promptly with your financial institution, especially when repayment terms or conditions are unclear.","Contact the institution, request a breakdown of fees/charges, and formally dispute any discrepancies.",Fair Credit Billing Act (FCBA)
"Payday loan, title loan, personal loan, or advance loan",Title loan,Problem with the payoff process at the end of the loan,25,Advice,"Loan-related issues should be documented and addressed promptly with your financial institution, especially when repayment terms or conditions are unclear.",Collect relevant documentation and submit a formal complaint through the institution's escalation channel.,Truth in Lending Act (TILA)
Debt or credit management,Debt settlement,Didn't provide services promised,26,Escalation,Debt collection issues should be handled with caution. Always ask for verification before taking action and retain all correspondence.,Collect relevant documentation and submit a formal complaint through the institution's escalation channel.,
Mortgage,Conventional home mortgage,Trouble during payment process,27,Alert,Missing or misapplied payments should be addressed with your loan servicer. Request a full payment history and highlight any discrepancies.,Gather your payment receipts and request a full transaction history from your loan or mortgage servicer.,
Credit card or prepaid card,General-purpose credit card or charge card,Problem when making payments,28,Advice,"For any issues with your credit card, it's best to first contact your issuer's dispute resolution department. Keep a record of all communications.",Gather your payment receipts and request a full transaction history from your loan or mortgage servicer.,
Debt collection,I do not know,Communication tactics,29,Escalation,Debt collection issues should be handled with caution. Always ask for verification before taking action and retain all correspondence.,Collect relevant documentation and submit a formal complaint through the institution's escalation channel.,
Credit card,Store credit card,Fees or interest,30,Alert,Unexpected interest or fees should be clarified with your card issuer. You have the right to request a fee breakdown and challenge any billing errors.,"Contact the institution, request a breakdown of fees/charges, and formally dispute any discrepancies.",
Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,31,Advice,"For your issue 'Problem with a company's investigation into an existing problem' under Credit reporting or other personal consumer reports, we recommend contacting your provider and keeping detailed records.",Collect relevant documentation and submit a formal complaint through the institution's escalation channel.,
Debt collection,I do not know,Written notification about debt,32,Escalation,Debt collection issues should be handled with caution. Always ask for verification before taking action and retain all correspondence.,"Send a written dispute letter within 30 days of first contact, requesting verification of the debt.",Fair Debt Collection Practices Act (FDCPA)
Prepaid card,General-purpose prepaid card,Trouble using the card,33,Alert,"For your issue 'Trouble using the card' under Prepaid card, we recommend contacting your provider and keeping detailed records.",Collect relevant documentation and submit a formal complaint through the institution's escalation channel.,
Credit card,General-purpose credit card or charge card,Fees or interest,34,Advice,Unexpected interest or fees should be clarified with your card issuer. You have the right to request a fee breakdown and challenge any billing errors.,"Contact the institution, request a breakdown of fees/charges, and formally dispute any discrepancies.",
Debt collection,I do not know,Written notification about debt,35,Escalation,Debt collection issues should be handled with caution. Always ask for verification before taking action and retain all correspondence.,"Send a written dispute letter within 30 days of first contact, requesting verification of the debt.",Fair Debt Collection Practices Act (FDCPA)
Bank account or service,Checking account,"Account opening, closing, or management",36,Alert,"For general bank account issues, contact your branch or customer care with documented evidence to ensure a formal review.",Collect relevant documentation and submit a formal complaint through the institution's escalation channel.,
Bank account or service,Checking account,Problems caused by my funds being low,37,Advice,"For general bank account issues, contact your branch or customer care with documented evidence to ensure a formal review.",Collect relevant documentation and submit a formal complaint through the institution's escalation channel.,
Credit card or prepaid card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,38,Escalation,"For any issues with your credit card, it's best to first contact your issuer's dispute resolution department. Keep a record of all communications.",Collect relevant documentation and submit a formal complaint through the institution's escalation channel.,
Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,39,Alert,"For your issue 'Improper use of your report' under Credit reporting or other personal consumer reports, we recommend contacting your provider and keeping detailed records.",Collect relevant documentation and submit a formal complaint through the institution's escalation channel.,
Student loan,Federal student loan servicing,Dealing with your lender or servicer,40,Advice,"Loan-related issues should be documented and addressed promptly with your financial institution, especially when repayment terms or conditions are unclear.",Collect relevant documentation and submit a formal complaint through the institution's escalation channel.,
Checking or savings account,Checking account,Opening an account,41,Escalation,"For general bank account issues, contact your branch or customer care with documented evidence to ensure a formal review.",Collect relevant documentation and submit a formal complaint through the institution's escalation channel.,
Debt collection,Telecommunications debt,Attempts to collect debt not owed,42,Alert,"If you're being contacted for a debt you don't owe, request written validation from the collector. Under the FDCPA, you can dispute the debt within 30 days.","Send a written dispute letter within 30 days of first contact, requesting verification of the debt.",Fair Debt Collection Practices Act (FDCPA)
Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,43,Advice,"For your issue 'Incorrect information on your report' under Credit reporting or other personal consumer reports, we recommend contacting your provider and keeping detailed records.",Collect relevant documentation and submit a formal complaint through the institution's escalation channel.,
Consumer Loan,Vehicle loan,Problems when you are unable to pay,44,Escalation,"Loan-related issues should be documented and addressed promptly with your financial institution, especially when repayment terms or conditions are unclear.",Collect relevant documentation and submit a formal complaint through the institution's escalation channel.,
Mortgage,FHA mortgage,Struggling to pay mortgage,45,Alert,"Loan-related issues should be documented and addressed promptly with your financial institution, especially when repayment terms or conditions are unclear.",Collect relevant documentation and submit a formal complaint through the institution's escalation channel.,Real Estate Settlement Procedures Act (RESPA)
"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,46,Advice,"For your issue 'Improper use of your report' under Credit reporting, credit repair services, or other personal consumer reports, we recommend contacting your provider and keeping detailed records.",Collect relevant documentation and submit a formal complaint through the institution's escalation channel.,
Prepaid card,General-purpose prepaid card,Trouble using the card,47,Escalation,"For your issue 'Trouble using the card' under Prepaid card, we recommend contacting your provider and keeping detailed records.",Collect relevant documentation and submit a formal complaint through the institution's escalation channel.,
Student loan,Federal student loan servicing,Dealing with your lender or servicer,48,Alert,"Loan-related issues should be documented and addressed promptly with your financial institution, especially when repayment terms or conditions are unclear.",Collect relevant documentation and submit a formal complaint through the institution's escalation channel.,
Consumer Loan,Vehicle lease,Managing the loan or lease,49,Advice,"Loan-related issues should be documented and addressed promptly with your financial institution, especially when repayment terms or conditions are unclear.",Collect relevant documentation and submit a formal complaint through the institution's escalation channel.,Truth in Lending Act (TILA)
Checking or savings account,Checking account,Closing an account,50,Escalation,"For general bank account issues, contact your branch or customer care with documented evidence to ensure a formal review.",Collect relevant documentation and submit a formal complaint through the institution's escalation channel.,
